Item ID,Custom Label,Product ID Type,Product ID Value,Product ID Value 2,Quantity Available,Purchases,Bids,Price,Start Date,End Date,Condition,Type,Item Title,Category Leaf Name,Category Number,Private Notes,Site Listed,Download Date,Variation Details,Product Reference ID,Condition ID,OutOfStockControl
130993129724,,,,,2,0,,$55.00,Sep-15-13,,Used,9,"Lot of 10 OEM Dell Optiplex 745 755 SFF Hard Drive Caddy with Fan + SATA Cable","Drive Bay Caddies",158816,,0,"Jan-10-14 17:54:08 PST",,,3000,false
151189264172,,,,,1,0,,$35.36,Dec-14-13,,Used,9,"Apple MacBook Pro A1211 Palmrest Touchpad & Power Button 620-3739-A Grade C 149","Laptop Housings & Touchpads",175676,,0,"Jan-10-14 17:54:08 PST",,,3000,false
141141561437,,,,,1,0,,$28.45,Dec-14-13,,"For parts or not working",9,"Apple Macbook Pro 15"" A1211 Bottom Base Lower Case Casing Heatsink 620-3734 150",Other,16145,,0,"Jan-10-14 17:54:08 PST",,,7000,false
130949933859,G13,,,,16,6,,$24.99,Jul-17-13,,Used,9,"HIPRO 185W POWER SUPPLY HP-M1854F3P IBM FRU 24P6883 PN 24P6882 TESTED + WARRANTY","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
130949934511,F9,,,,8,0,,$19.95,Jul-17-13,,Used,9,"HIPRO 300W POWER SUPPLY HP-P3087F3 GATEWAY TESTED + WARRANTY","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
141018729807,,,,,5,1,,$26.50,Jul-17-13,,Used,9,"HIPRO 340W POWER SUPPLY HP-U340HF3 IBM FRU 49P2040 PN 49P2039 TESTED + WARRANTY","Power Supplies",42017,,0,"Jan-10-14 17:54:08 PST",,,3000,false
151189280573,,,,,1,0,,$149.00,Dec-14-13,,Used,9,"Dealer Lot of 13 Dell Latitude D610 14.1"" LCD Screen Cable Bezel 151","Laptop Screens & LCD Panels",31569,,0,"Jan-10-14 17:54:08 PST",,,3000,false
131071554811,,,,,1,0,,$260.85,Dec-14-13,,Used,9,"Lot of 141 Pcs Intel Pentium D 915 SL9DA SL9KB 2.8GHZ 4M 800 CPU Processor","CPUs, Processors",164,,0,"Jan-10-14 17:54:08 PST",,,3000,false
141141581807,,,,,2,0,,$99.00,Dec-14-13,,Used,9,"Dealer Lot of 10 Dell Latitude D500 D600 14.1"" LCD Screen Cable Bezel 152","Laptop Screens & LCD Panels",31569,,0,"Jan-10-14 17:54:08 PST",,,3000,false
151189288408,,,,,1,0,,$324.90,Dec-14-13,,Used,9,"Lot of 114 Pcs Intel Pentium D 925 SL9KA 3.00GHZ 4M 800 CPU Processor","CPUs, Processors",164,,0,"Jan-10-14 17:54:08 PST",,,3000,false
151189293303,,,,,1,0,,$48.00,Dec-14-13,,Used,9,"lot of 12 Pcs Intel Pentium D 920 SL8WS SL94S 2.80GHZ 4M 800 CPU Processor","CPUs, Processors",164,,0,"Jan-10-14 17:54:08 PST",,,3000,false
131071566216,,,,,1,0,,$69.00,Dec-14-13,,Used,9,"Lot of 23 Pcs Intel Pentium D SL95X SL94R 3.00GHZ 4M 800 CPU Processor","CPUs, Processors",164,,0,"Jan-10-14 17:54:08 PST",,,3000,false
